null,c0
-99455.572225,-99455.572225
-99581.320272,-99581.320272
-98178.323537,-98178.259577
-99253.313297,-99253.313297
-98635.426158,-98635.364596
-98369.201853,-98369.119224
-99306.641566,-99306.641566
-99210.533913,-99210.533913
-98384.725308,-98380.566289
-99471.806978,-99471.806978
-98380.971049,-98380.971049
-98277.172484,-98277.172484
-98785.501105,-98785.501105
-98358.228730,-98356.928838
-98656.496836,-98655.273520
-98959.854462,-98959.849986
-99899.607865,-99899.607865
-99887.702479,-99887.702479
-99135.327354,-99135.207220
-98561.101603,-98559.382416
-99384.369783,-99384.369783
-98659.873861,-98659.873861
-98298.627415,-98298.627415
-98837.028914,-98837.011791
-98732.823128,-98732.751709
-98003.343801,-98003.186493
-99196.573033,-99195.779602
-99277.097321,-99277.097321
-99160.264018,-99160.035123
-98979.684732,-98979.187178
-99585.736531,-99585.030215
-100569.533322,-100568.044297
-98999.806797,-98999.806797
-98683.732438,-98683.715605
-99640.845756,-99640.845756
-98765.691984,-98764.226191
-98344.509174,-98344.434737
-98697.811123,-98697.427226
-99207.630729,-99207.630729
-99487.249595,-99487.249596
-98510.894207,-98510.492366
-98900.605115,-98900.547234
-99103.361592,-99103.361592
-99257.740461,-99257.740461
-99650.138652,-99649.567622
-99222.493844,-99221.389038
-99605.753812,-99605.735370
-98387.547097,-98387.376133
-99140.527689,-99140.527689
-99796.637813,-99796.333760
-100936.089148,-100936.089148
-99597.248285,-99594.901510
-99288.843328,-99288.843328
-99239.601381,-99239.125568
-100181.890805,-100181.109025
-98219.397728,-98219.072981
-99128.410294,-99128.410294
-98480.734511,-98480.493340
-99296.496875,-99296.175661
-98320.306543,-98319.055412
-99450.250088,-99450.250088
-99131.298788,-99131.287092
-98724.416896,-98723.847238
-99146.537034,-99146.537034
-98642.669095,-98642.669095
-98441.147924,-98441.122573
-99920.848521,-99920.486811
-99296.967106,-99296.967106
-98777.447681,-98777.431976
-99001.492062,-99001.448117
-98945.801597,-98944.565139
-99570.557422,-99570.557422
-99088.657597,-99088.648581
-99032.442561,-99032.442561
-98715.588282,-98715.588282
-98477.321774,-98477.321774
-98818.653224,-98818.250510
-99250.560389,-99250.097201
-99833.381895,-99833.380570
-99055.191450,-99054.368965
-99636.552447,-99636.552447
-98798.450820,-98798.450814
-99461.885687,-99461.885687
-98634.322548,-98634.322548
-100095.128391,-100095.128391
-98864.915388,-98862.874743
-99365.667941,-99365.246105
-98765.845699,-98765.845699
-99145.125888,-99143.825776
-99316.063340,-99316.063340
-98810.090062,-98810.027436
-99564.084643,-99563.540292
-98926.495483,-98926.495483
-99520.686559,-99520.683701
-97843.924279,-97843.506318
-98642.690678,-98640.459159
-98788.777713,-98786.316040
-98781.952433,-98781.952433
-98410.902324,-98410.902324
-99026.886187,-99026.886187
-98464.946870,-98463.701861
-98173.715213,-98172.705815
-100687.603188,-100687.603188
-99734.572339,-99734.572339
-98498.803299,-98498.803299
-98779.022163,-98778.136219
-98654.247652,-98654.247652
-99766.818263,-99766.818263
-99066.891853,-99066.891853
-99370.490206,-99370.490206
-99038.133531,-99037.429500
-99826.427314,-99826.053997
-98729.863009,-98729.401727
-99341.604323,-99341.574410
-98836.737556,-98836.735418
-99024.121034,-99024.121034
-99100.280600,-99099.851474
-98610.637603,-98609.880884
-99466.168305,-99462.485184
-98432.741700,-98432.741700
-99837.292891,-99837.120776
-99165.479046,-99165.479046
-99068.017178,-99067.495112
-98244.441486,-98244.441486
-99350.750477,-99350.746786
-99572.644070,-99572.642265
-99234.934402,-99233.365908
-98094.242050,-98094.242049
-99173.257967,-99172.992658
-98778.098746,-98778.098746
-99593.912441,-99593.912441
-98860.277856,-98860.268712
-99103.349979,-99103.374073
-98108.601163,-98108.596618
-98212.110557,-98212.110557
-98717.464790,-98717.464790
-100239.517054,-100239.166947
-98785.355833,-98785.288419
-99734.811059,-99734.811059
-99304.409108,-99304.299588
-99220.815209,-99220.645168
-98687.471138,-98684.806470
-99400.208764,-99400.208764
-99117.922527,-99117.911387
-99651.347619,-99650.775549
-98967.664316,-98967.664317
-98728.965254,-98728.965254
-99012.093861,-99010.601083
-99665.904714,-99665.672167
-99733.988859,-99732.303165
-98943.827203,-98943.827203
-99125.331788,-99125.331788
-98944.244759,-98944.244759
-98951.143257,-98951.143257
-98996.858716,-98996.089216
-99362.142159,-99362.028445
-98941.321418,-98939.646064
-100174.644146,-100174.644145
-99229.786025,-99229.786025
-99220.921055,-99219.327818
-100633.588216,-100633.588216
-99192.841564,-99192.841564
-98813.277944,-98813.277944
-98420.381519,-98419.235265
-99292.079898,-99292.073539
-98947.672991,-98947.265463
-98261.004339,-98260.831954
-98341.203883,-98339.390197
-98711.431470,-98711.370668
-98738.444284,-98738.444284
-99361.598761,-99361.598761
-100681.482141,-100681.413552
-99574.182855,-99573.887965
-98922.574691,-98922.424416
-98702.701147,-98702.268552
-100015.741834,-100014.863349
-99134.402552,-99134.402572
-100154.970480,-100154.970480
-99341.377932,-99340.422277
-98610.516281,-98610.516281
-99808.040007,-99808.040007
-98551.030442,-98550.995026
-99270.703164,-99270.703163
